米	ベイ	米	名詞-固有名詞-地域-国		
アップル	アップル	アップル	名詞-一般		
の	ノ	の	助詞-連体化		
スマート	スマート	スマート	名詞-固有名詞-人名-姓		
フォン	フォン	フォン	名詞-一般		
（	（	（	記号-括弧開		
高	コウ	高	接頭詞-名詞接続		
機能	キノウ	機能	名詞-サ変接続		
携帯	ケイタイ	携帯	名詞-サ変接続		
電話	デンワ	電話	名詞-サ変接続		
＝	＝	＝	記号-一般		
スマホ	スマホ	スマホ	名詞-固有名詞-組織		
）	）	）	記号-括弧閉		
「	「	「	記号-括弧開		
ｉＰｈｏｎｅ	ｉＰｈｏｎｅ	ｉＰｈｏｎｅ	名詞-固有名詞-組織		
（	（	（	記号-括弧開		
アイフォーン	アイフォーン	アイフォーン	名詞-固有名詞-一般		
）	）	）	記号-括弧閉		
」	」	」	記号-括弧閉		
の	ノ	の	助詞-連体化		
販売	ハンバイ	販売	名詞-サ変接続		
で	デ	で	助詞-格助詞-一般		
、	、	、	記号-読点		
ソフトバンク	ソフトバンク	ソフトバンク	名詞-固有名詞-組織		
の	ノ	の	助詞-連体化		
優勢	ユウセイ	優勢	名詞-形容動詞語幹		
が	ガ	が	助詞-格助詞-一般		
鮮明	センメイ	鮮明	名詞-形容動詞語幹		
に	ニ	に	助詞-格助詞-一般		
なっ	ナッ	なる	動詞-自立	五段・ラ行	連用タ接続
て	テ	て	助詞-接続助詞		
いる	イル	いる	動詞-非自立	一段	基本形
。	。	。	記号-句点		
2011	2011	2011	名詞-数		
年	ネン	年	名詞-接尾-助数詞		
10	10	10	名詞-数		
月	ツキ	月	名詞-一般		
14	14	14	名詞-数		
日	ニチ	日	名詞-接尾-助数詞		
に	ニ	に	助詞-格助詞-一般		
発売	ハツバイ	発売	名詞-サ変接続		
し	シ	する	動詞-自立	サ変・スル	連用形
た	タ	た	助動詞	特殊・タ	基本形
最新	サイシン	最新	名詞-一般		
モデル	モデル	モデル	名詞-一般		
「	「	「	記号-括弧開		
４	ヨン	４	名詞-数		
Ｓ	エス	Ｓ	記号-アルファベット		
」	」	」	記号-括弧閉		
から	カラ	から	助詞-格助詞-一般		
ＫＤＤＩ	ＫＤＤＩ	ＫＤＤＩ	名詞-固有名詞-組織		
（	（	（	記号-括弧開		
ａ	エイ	ａ	記号-アルファベット		
ｕ	ユー	ｕ	記号-アルファベット		
）	）	）	記号-括弧閉		
も	モ	も	助詞-係助詞		
取り扱い	トリアツカイ	取り扱い	名詞-一般		
を	ヲ	を	助詞-格助詞-一般		
始め	ハジメ	始める	動詞-自立	一段	連用形
た	タ	た	助動詞	特殊・タ	基本形
が	ガ	が	助詞-接続助詞		
、	、	、	記号-読点		
販売	ハンバイ	販売	名詞-サ変接続		
数量	スウリョウ	数量	名詞-一般		
で	デ	で	助詞-格助詞-一般		
着実	チャクジツ	着実	名詞-形容動詞語幹		
に	ニ	に	助詞-副詞化		
リード	リード	リード	名詞-サ変接続		
を	ヲ	を	助詞-格助詞-一般		
続け	ツヅケ	続ける	動詞-自立	一段	連用形
て	テ	て	助詞-接続助詞		
いる	イル	いる	動詞-非自立	一段	基本形
。	。	。	記号-句点		
ひとまず	ヒトマズ	ひとまず	名詞-一般		
は	ハ	は	助詞-係助詞		
当面	トウメン	当面	名詞-副詞可能		
の	ノ	の	助詞-連体化		
「	「	「	記号-括弧開		
難関	ナンカン	難関	名詞-一般		
」	」	」	記号-括弧閉		
を	ヲ	を	助詞-格助詞-一般		
クリア	クリア	クリア	名詞-サ変接続		
し	シ	する	動詞-自立	サ変・スル	連用形
た	タ	た	助動詞	特殊・タ	基本形
形	カタチ	形	名詞-一般		
だ	ダ	だ	助動詞	特殊・ダ	基本形
が	ガ	が	助詞-接続助詞		
、	、	、	記号-読点		
次	ツギ	次	名詞-一般		
なる	ナル	なり	助動詞	文語・ナリ	体言接続
ターゲット	ターゲット	ターゲット	名詞-一般		
は	ハ	は	助詞-係助詞		
総務	ソウム	総務	名詞-一般		
省	ショウ	省	名詞-接尾-一般		
が	ガ	が	助詞-格助詞-一般		
今年	コトシ	今年	名詞-副詞可能		
２月	ニガツ	２月	名詞-副詞可能		
に	ニ	に	助詞-格助詞-一般		
も	モ	も	助詞-係助詞		
携帯	ケイタイ	携帯	名詞-サ変接続		
事業	ジギョウ	事業	名詞-一般		
者	シャ	者	名詞-接尾-一般		
に	ニ	に	助詞-格助詞-一般		
割り当てる	ワリアテル	割り当てる	動詞-自立	一段	基本形
新	シン	新	接頭詞-名詞接続		
周波数	シュウハスウ	周波数	名詞-一般		
帯	タイ	帯	名詞-接尾-一般		
の	ノ	の	助詞-連体化		
行方	ユクエ	行方	名詞-一般		
だ	ダ	だ	助動詞	特殊・ダ	基本形
。	。	。	記号-句点		
ソフトバンク	ソフトバンク	ソフトバンク	名詞-固有名詞-組織		
の	ノ	の	助詞-連体化		
今後	コンゴ	今後	名詞-副詞可能		
の	ノ	の	助詞-連体化		
「	「	「	記号-括弧開		
命運	メイウン	命運	名詞-一般		
」	」	」	記号-括弧閉		
を	ヲ	を	助詞-格助詞-一般		
左右	サユウ	左右	名詞-サ変接続		
する	スル	する	動詞-自立	サ変・スル	基本形
と	ト	と	助詞-格助詞-引用		
言っ	イッ	言う	動詞-自立	五段・ワ行促音便	連用タ接続
て	テ	て	助詞-接続助詞		
も	モ	も	助詞-係助詞		
過言	カゴン	過言	名詞-一般		
で	デ	で	助詞-格助詞-一般		
は	ハ	は	助詞-係助詞		
